productId,description,brand,price,size,inventory,fulfillment
"0074236520865","Horizon Organic Shelf Stable 1% Lowfat Strawberry Milk","Horizon Organic","1.5","8 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042861","Simple Truth Organic® 2% Reduced Fat Milk with DHA Omega-3 Half Gallon","Simple Truth Organic","4.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111040601","Kroger® Vitamin D Whole Milk Half Gallon","Kroger","1.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042305","Kroger® Skim Milk Half Gallon","Kroger","1.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0009396651300","Organic Valley® Whole Milk Half Gallon","Organic Valley","6.29","64 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0009396651500","Organic Valley® 2% Reduced Fat Milk Half Gallon","Organic Valley","6.29","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500421","Horizon Organic Shelf Stable 1% Lowfat Strawberry Milk","Horizon Organic","8.49","6 ct / 8 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500420","Horizon Organic Shelf Stable 1% Lowfat Milk","Horizon Organic","8.49","6 ct / 8 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050438","Simple Truth Organic® Lactose Free 2% Reduced Fat Milk Half Gallon","Simple Truth Organic","4.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050434","Simple Truth Organic® Lactose Free Vitamin D Whole Milk Half Gallon","Simple Truth Organic","4.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042850","Simple Truth Organic® Vitamin D Whole Milk Half Gallon","Simple Truth Organic","4.69","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042852","Simple Truth Organic® 2% Reduced Fat Milk Half Gallon","Simple Truth Organic","4.69","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111041600","Kroger® 2% Reduced Fat Milk Half Gallon","Kroger","1.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050277","Kroger® 2% Reduced Fat Milk 16 fl. oz. Bottle","Kroger","1.79","1 pt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111001024","Simple Truth Organic® 2% Reduced Fat Milk Gallon","Simple Truth Organic","8.49","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042856","Simple Truth Organic® Skim Fat Free Milk Half Gallon","Simple Truth Organic","4.69","1/2 gal","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050274","Kroger® Vitamin D Whole Milk 16 fl. oz. Bottle","Kroger","1.79","1 pt","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111008019","Simple Truth Organic® Low Fat Chocolate Milk","Simple Truth Organic","14.99","12 ct / 8 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0004138309036","Lactaid® Lactose Free Whole Milk Half Gallon","Lactaid","4.99","1/2 gallon","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042858","Simple Truth Organic® Vitamin D Whole Milk with DHA Omega-3 Half Gallon","Simple Truth Organic","4.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111050075","Simple Truth Organic® Whole Chocolate Milk Half Gallon","Simple Truth Organic","4.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526425","Horizon Organic Vitamin D 2 Percent Milk - Vitamin D Reduced Fat Milk","Horizon Organic","6.79","1/2 gal","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111082556","Kroger® Lactose Free 2% Reduced Fat Milk Half Gallon","Kroger","3.49","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526501","Horizon Organic Growing Years 2% Milk for Kids","Horizon Organic","7.99","59 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085508800546","Maple Hill 100% Grassfed Organic Whole Milk","Maple Hill","8.49","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500539","Horizon Organic Lactose Free Milk - Whole Milk","Horizon Organic","7.29","1/2 gal","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500417","Horizon Organic Shelf Stable 1% Lowfat Vanilla Milk","Horizon Organic","8.49","6 ct / 8 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500416","Horizon Organic Shelf Stable 1% Lowfat Chocolate Milk","Horizon Organic","8.49","6 ct / 8 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236520885","Horizon Organic Shelf Stable 1% Lowfat Chocolate Milk","Horizon Organic","1.5","8 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111040101","Kroger® Vitamin D Whole Milk Gallon","Kroger","2.99","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111008009","Simple Truth Organic® 1% Lowfat Milk Bottles","Simple Truth Organic","14.99","12 bottles / 8 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236526435","Horizon Organic DHA Omega-3 Milk - DHA 2 Percent Milk","Horizon Organic","7.29","1/2 gal","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0081162002016","fairlife Ultra-Filtered Milk, Lactose Free, High Protein, Whole Milk","Fairlife","5.99","52 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500708","Horizon Organic Grassfed 2 Percent Milk - Reduced Fat Milk","Horizon Organic","7.99","59 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111041660","Kroger® 1% Lowfat Milk Gallon","Kroger","2.99","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111041661","Kroger® 1% Lowfat Milk Half Gallon","Kroger","1.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
